acc. date,type,reg.,operator,fat.,location,dmg
23-Aug-24,Boeing 737-470,YA-PID,Ariana Afghan Airlines,0,Khost Airport (KHT/OAKS),sub
20-Jan-24,Dassault Falcon 10,RA-09011,Athletic Group LLC,2,"Topkana area, Kuran wa Munjan District, Badakkhshan province",w/o
27-Jan-20,Bombardier E-11A (Global Express),Nov-58,US Air Force (USAF),2,39 km NNW of Sharana FOB,w/o
3-Oct-17,Cessna 208B Grand Caravan,YA12303,Afghan Air Force,0,Nili Airport,sub
10-Dec-16,Boeing 737-46J,JY-JAQ,"Safi Airways, lsf Jordan Aviation",0,Kabul-Hamid Karzai International Airport (KBL),sub
18-May-16,Antonov An-12B,4K-AZ25,Silk Way Airlines,7,Dwyer Airport (DWR),w/o
12-Oct-15,Cessna 208B Grand Caravan,YA22382,Afghan Air Force,2,Bamyan Province,w/o
2-Oct-15,Lockheed C-130J-30 Super Hercules,Aug-74,United States Air Force - USAF,11+3,Jalalabad Airport (JAA),w/o
20-Jan-15,IRMA/Pilatus Britten-Norman BN-2T Islander,ZS-NAT,Xcel Aviation,0,"Dawlatabad district, Balkh province",sub
7-Nov-14,Boeing 737-4Y0,YA-PIE,Ariana Afghan Airlines,0,Kabul Airport (KBL),sub
22-Jul-14,Lockheed C-130J Super Hercules,MM62190,Aeronautica Militare Italiana - AMI,0,Herat Airport (HEA),sub
20-Jun-14,Boeing 767-36NER,N768NA,Omni Air International,0,Kabul Airport (KBL),sub
8-May-14,Boeing 737-4Y0,YA-PIB,Ariana Afghan Airlines,0,Kabul Airport (KBL),sub
10-Jan-14,Beechcraft 300 King Air (MARSS),N195AE,United States Army,3,Eastern Afghanistan,w/o
19-May-13,Lockheed C-130J-30 Super Hercules,Apr-44,United States Air Force - USAF,0,Forward Operating Base Shank (OAA),sub
29-Apr-13,Boeing 747-428 (BCF),N949CA,National Airlines (National Air Cargo),7,Bagram Air Base (BPM),w/o
27-Apr-13,Beechcraft MC-12W Liberty (King Air 350),09-0676,United States Air Force - USAF,4,204 km NE of Kandahar Airport (KDH),w/o
23-Apr-13,British Aerospace BAe-125 CC3 (HS-125-700),ZD704,Royal Air Force - RAF,0,Kandahar Airport (KDH),sub
11-Dec-12,Lockheed HC-130P Hercules,65-0981,United States Air Force - USAF,,within Afghanistan,w/o
19-Oct-12,Antonov An-12B,EK12112,Air Mark Aviation,0,Shindand Airport (OAH),w/o
17-Oct-12,de Havilland Canada DHC-8-315Q Dash 8,N800AW,United States Department of State,0,Kabul Airport (KBL),sub
24-Jan-12,McDonnell Douglas DC-9-83 (MD-83),EC-JJS,"Gryphon Airlines, lsf Swiftair",0,Kandahar Airport (KDH),sub
18-Dec-11,PZL-Mielec C-145A (M28-05) Skytruck,08-0319,United States Air Force - USAF,0,Walan Rabat Landing Zone,w/o
15-Aug-11,Lockheed C-130 Hercules,,United States Air Force - USAF,0,over Afghanistan,min
6-Jul-11,Ilyushin Il-76TD,4K-AZ55,Silk Way Airlines,9,ca 25 km from Bagram Air Base (BPM),w/o
12-Oct-10,Lockheed L-100-20 Hercules,5X-TUC,"National Airlines (National Air Cargo), opb Transafrik",8,30 km E of Kabul Airport (KBL),w/o
28-Jul-10,Antonov An-12BP,3X-GEQ,Unknown,0,"FOB Dwyer, Helmand Province",w/o
4-Jun-10,Lockheed L-100-30 Hercules,S9-BAT,"National Airlines (National Air Cargo), opb Transafrik",0,Sharana Air Base,sub
xx May 2010,Antonov An-74-200,EK-74027,Ayk Avia,0,Kabul-Hamid Karzai International Airport (KBL),sub
17-May-10,Antonov An-24V,YA-PIS,Pamir Airways,44,Salang Pass,w/o
1-Mar-10,Airbus A300B4-203 (F),TC-ACB,ACT Airlines,0,Bagram Air Base (BPM),sub
2-Feb-10,Lockheed C-130E Hercules,1506,Polish Air Force,0,Mazar-I-Sharif Airport (MZR),sub
13-Oct-09,Beechcraft C-12C Huron (A200 Super King Air),78-23135,United States Army,3,Nuristan Province,w/o
8-Oct-09,Antonov An-32A,354,Afghan National Army Air Corps,0,Kandahar Airport (KDH),sub
27-Jun-09,British Aerospace 3201 Jetstream 31,N485UE,Vecolair,0,Salerno FOB,w/o
30-Jan-09,McDonnell Douglas C-17A Globemaster III,96-0002,United States Air Force - USAF,0,Bagram Air Base (BPM),sub
21-Oct-08,Lockheed P-3C Orion,161585,United States Navy,0,Bagram Air Base (BPM),w/o
5-Aug-08,Lockheed C-130H Hercules,1212,United Arab Emirates Air Force,0,Bagram Air Base (BPM),w/o
14-Feb-08,Ilyushin Il-76TD,UN-76020,Asia Continental Airlines,0,Kandahar Airport (KDH),sub
29-Aug-07,Lockheed Hercules C.1P (C-130K),XV205,Royal Air Force - RAF,0,within Helmand Province,w/o
2-Sep-06,British Aerospace Nimrod MR.2,XV230,Royal Air Force - RAF,14,20 km W of Kandahar,w/o
29-Jun-06,Antonov An-12BP,EK12305,Unknown,0,Bagram Air Base (BPM),w/o
24-May-06,Lockheed Hercules C.1P (C-130K),XV206,Royal Air Force - RAF,0,Bost/Lashkar Gah Airport (BST),w/o
24-Apr-06,Antonov An-32B,ZS-PDV,"United States Department of State, opb Air Million Cargo",2+3,Bost/Lashkar Gah Airport (BST),w/o
11-Nov-05,Ilyushin Il-76TD,4L-ZIL,"Royal Airlines Cargo, lsf Global Georgian Airways",8,Khak-e Shahidan,w/o
25-Apr-05,Antonov An-12BP,UN-11003,ATMA Airlines,0,Kabul Airport (KBL),w/o
3-Feb-05,Boeing 737-242 Advanced,EX-037,"Kam Air, lsf Phoenix Aviation",105,32 km ESE of Kabul Airport (KBL),w/o
30-Dec-04,Ilyushin Il-76TD,ER-IBM,Airline Transport,0,Kabul Airport (KBL),w/o
27-Nov-04,CASA C-212 Aviocar 200,N960BW,"U.S. Department of Defense, lsf Presidential Airways",6,148 km W of Bagram,w/o
16-Sep-04,Antonov An-24RV,EW-47808,Kam Air,0,Kabul Airport (KBL),sub
12-Jun-02,Lockheed MC-130H Combat Talon II,84-0475,United States Air Force - USAF,3,56 km SW of Gardez,w/o
13-Feb-02,Lockheed MC-130P Combat Shadow,66-0213,United States Air Force - USAF,0,Hindu Kush mountain range,w/o
xx Oct 2001,Antonov An-24V,YA-DAG,Ariana Afghan Airlines,0,Kabul Airport (KBL),w/o
xx Oct 2001,Antonov An-24RV,YA-DAJ,Ariana Afghan Airlines,0,Kabul Airport (KBL),w/o
